類別：所有類別

週,voice analysis: (全球),Acoustic analysis: (全球),Vibration analysis: (全球),Music analysis: (全球),image analysis: (全球)
2015-10-18,25,10,25,55,70
2015-10-25,22,8,34,48,69
2015-11-01,9,8,26,62,74
2015-11-08,11,3,18,73,70
2015-11-15,21,6,30,77,86
2015-11-22,16,6,39,56,76
2015-11-29,21,7,23,63,66
2015-12-06,24,3,35,61,88
2015-12-13,15,4,33,61,62
2015-12-20,11,2,20,25,38
2015-12-27,11,3,16,28,38
2016-01-03,17,6,33,47,56
2016-01-10,17,2,25,40,77
2016-01-17,18,6,34,39,79
2016-01-24,25,9,27,36,63
2016-01-31,26,7,31,65,72
2016-02-07,21,8,26,55,75
2016-02-14,14,7,32,51,86
2016-02-21,24,9,30,54,77
2016-02-28,19,7,30,49,69
2016-03-06,23,9,31,53,77
2016-03-13,16,8,25,49,80
2016-03-20,14,4,24,39,72
2016-03-27,18,4,25,34,66
2016-04-03,16,3,30,55,66
2016-04-10,25,9,29,60,75
2016-04-17,24,8,34,63,65
2016-04-24,29,3,30,78,80
2016-05-01,19,9,24,52,73
2016-05-08,17,3,25,52,69
2016-05-15,17,7,24,46,64
2016-05-22,30,5,28,46,55
2016-05-29,18,7,26,45,77
2016-06-05,14,10,29,28,51
2016-06-12,12,3,26,25,58
2016-06-19,13,13,22,25,63
2016-06-26,13,3,21,30,47
2016-07-03,11,8,22,28,50
2016-07-10,11,6,21,22,50
2016-07-17,12,6,38,31,52
2016-07-24,16,6,30,27,51
2016-07-31,18,8,21,27,52
2016-08-07,13,3,24,31,69
2016-08-14,12,2,33,34,48
2016-08-21,13,8,22,27,65
2016-08-28,25,2,29,33,62
2016-09-04,23,6,27,45,56
2016-09-11,23,5,20,52,58
2016-09-18,19,3,23,67,76
2016-09-25,16,4,34,50,60
2016-10-02,19,4,25,51,66
2016-10-09,18,4,23,52,79
2016-10-16,16,4,24,48,85
2016-10-23,16,5,18,43,83
2016-10-30,18,5,25,55,76
2016-11-06,25,5,16,61,85
2016-11-13,18,9,24,55,80
2016-11-20,17,7,23,45,77
2016-11-27,18,5,24,55,66
2016-12-04,24,6,27,62,78
2016-12-11,13,5,28,54,73
2016-12-18,12,7,30,26,52
2016-12-25,10,6,23,22,39
2017-01-01,18,5,15,38,57
2017-01-08,21,2,21,42,65
2017-01-15,23,4,25,35,62
2017-01-22,26,3,17,43,72
2017-01-29,17,3,20,53,86
2017-02-05,25,8,29,50,77
2017-02-12,15,5,33,55,87
2017-02-19,20,6,26,49,100
2017-02-26,27,5,27,59,70
2017-03-05,23,7,30,66,72
2017-03-12,27,7,28,53,77
2017-03-19,19,6,23,64,76
2017-03-26,14,3,27,52,94
2017-04-02,26,9,30,53,79
2017-04-09,14,7,23,49,73
2017-04-16,12,6,31,59,63
2017-04-23,19,10,33,80,72
2017-04-30,17,4,26,69,83
2017-05-07,22,9,14,58,72
2017-05-14,15,5,22,47,64
2017-05-21,15,4,18,46,61
2017-05-28,15,4,26,30,58
2017-06-04,12,4,30,34,54
2017-06-11,9,5,18,33,61
2017-06-18,11,5,25,23,55
2017-06-25,9,4,11,21,57
2017-07-02,10,6,19,25,57
2017-07-09,17,4,25,23,59
2017-07-16,12,3,28,28,61
2017-07-23,16,5,27,26,59
2017-07-30,17,3,20,34,48
2017-08-06,13,3,26,30,52
2017-08-13,18,5,24,35,55
2017-08-20,16,3,19,26,55
2017-08-27,13,5,9,32,55
2017-09-03,19,6,31,36,65
2017-09-10,28,6,24,45,66
2017-09-17,15,8,18,43,58
2017-09-24,12,7,18,54,53
2017-10-01,18,7,27,41,65
2017-10-08,17,7,29,44,78
2017-10-15,9,7,23,57,66
2017-10-22,30,6,30,44,70
2017-10-29,22,8,15,62,78
2017-11-05,19,11,25,64,62
2017-11-12,24,8,21,66,91
2017-11-19,16,3,25,45,75
2017-11-26,24,5,30,60,61
2017-12-03,15,9,20,67,90
2017-12-10,24,3,24,55,80
2017-12-17,16,7,24,40,40
2017-12-24,19,3,20,22,40
2017-12-31,17,3,29,25,50
2018-01-07,12,5,25,36,59
2018-01-14,18,2,23,38,62
2018-01-21,8,7,24,45,64
2018-01-28,23,6,37,37,64
2018-02-04,20,8,20,47,70
2018-02-11,17,6,22,39,55
2018-02-18,14,7,28,47,70
2018-02-25,17,7,27,61,71
2018-03-04,20,4,24,51,65
2018-03-11,19,6,21,53,76
2018-03-18,14,4,23,48,68
2018-03-25,18,2,25,56,59
2018-04-01,22,9,26,42,64
2018-04-08,14,4,26,54,63
2018-04-15,22,9,27,53,75
2018-04-22,18,6,24,60,72
2018-04-29,27,5,30,63,63
2018-05-06,11,5,29,55,79
2018-05-13,19,2,25,46,61
2018-05-20,15,4,25,38,74
2018-05-27,15,5,20,43,59
2018-06-03,15,7,21,35,64
2018-06-10,16,6,19,34,56
2018-06-17,14,2,11,27,61
2018-06-24,14,3,22,30,45
2018-07-01,8,4,22,27,53
2018-07-08,13,5,26,30,58
2018-07-15,16,4,20,27,53
2018-07-22,13,9,24,28,56
2018-07-29,18,5,20,27,52
2018-08-05,9,3,24,30,58
2018-08-12,14,5,17,27,52
2018-08-19,13,4,13,20,61
2018-08-26,14,3,21,34,57
2018-09-02,14,2,26,42,65
2018-09-09,12,4,19,38,59
2018-09-16,21,5,25,40,66
2018-09-23,18,4,16,44,71
2018-09-30,23,4,17,38,63
2018-10-07,15,9,29,45,65
2018-10-14,18,5,26,40,63
2018-10-21,16,6,20,52,59
2018-10-28,24,4,25,49,67
2018-11-04,18,7,16,49,55
2018-11-11,18,5,26,57,68
2018-11-18,17,10,33,39,53
2018-11-25,19,5,21,61,69
2018-12-02,17,4,26,48,67
2018-12-09,19,5,26,52,61
2018-12-16,11,3,20,33,39
2018-12-23,7,3,16,19,33
2018-12-30,13,2,19,23,43
2019-01-06,14,2,26,38,46
2019-01-13,14,4,24,38,54
2019-01-20,15,4,24,35,64
2019-01-27,20,5,24,47,67
2019-02-03,15,4,23,57,57
2019-02-10,14,3,24,44,64
2019-02-17,16,5,21,48,55
2019-02-24,12,6,25,39,51
2019-03-03,20,6,26,41,51
2019-03-10,8,8,24,54,65
2019-03-17,27,6,20,56,74
2019-03-24,16,10,21,44,56
2019-03-31,13,5,25,48,65
2019-04-07,18,4,22,32,61
2019-04-14,18,5,16,30,67
2019-04-21,11,5,27,30,56
2019-04-28,26,1,16,51,57
2019-05-05,11,4,24,42,56
2019-05-12,16,4,24,37,58
2019-05-19,17,5,21,33,55
2019-05-26,14,7,17,37,49
2019-06-02,17,8,21,37,52
2019-06-09,15,4,24,28,62
2019-06-16,15,4,28,31,55
2019-06-23,8,5,28,21,48
2019-06-30,9,3,19,24,40
2019-07-07,16,4,23,34,41
2019-07-14,15,7,26,29,50
2019-07-21,11,2,19,25,39
2019-07-28,14,2,26,29,38
2019-08-04,9,2,21,28,45
2019-08-11,14,2,20,24,50
2019-08-18,19,6,21,19,59
2019-08-25,18,4,23,28,53
2019-09-01,11,2,24,29,43
2019-09-08,25,4,23,41,77
2019-09-15,13,7,25,36,56
2019-09-22,17,4,25,39,68
2019-09-29,18,1,22,43,62
2019-10-06,11,3,19,47,56
2019-10-13,20,3,26,52,70
2019-10-20,13,4,26,34,52
2019-10-27,10,7,22,34,50
2019-11-03,12,1,22,38,76
2019-11-10,16,5,22,47,58
2019-11-17,14,6,17,55,68
2019-11-24,19,5,16,31,50
2019-12-01,12,7,22,45,65
2019-12-08,17,4,22,45,64
2019-12-15,18,5,24,33,56
2019-12-22,8,2,17,12,36
2019-12-29,8,6,15,21,29
2020-01-05,13,5,22,29,53
2020-01-12,18,6,23,34,50
2020-01-19,13,3,23,38,54
2020-01-26,14,5,22,35,56
2020-02-02,16,3,24,47,75
2020-02-09,18,3,29,35,52
2020-02-16,13,5,25,50,62
2020-02-23,20,6,22,48,57
2020-03-01,19,6,29,46,60
2020-03-08,14,6,23,44,68
2020-03-15,9,4,23,39,43
2020-03-22,16,2,14,37,48
2020-03-29,17,5,19,31,57
2020-04-05,16,1,17,46,52
2020-04-12,21,2,16,43,45
2020-04-19,18,4,20,49,68
2020-04-26,25,4,15,48,55
2020-05-03,25,4,16,48,67
2020-05-10,20,6,13,46,58
2020-05-17,15,3,16,46,62
2020-05-24,15,4,18,33,51
2020-05-31,18,2,20,32,51
2020-06-07,16,6,20,33,57
2020-06-14,15,4,24,28,51
2020-06-21,16,4,17,26,51
2020-06-28,13,3,15,28,54
2020-07-05,11,3,19,26,52
2020-07-12,10,4,19,24,53
2020-07-19,13,5,18,25,60
2020-07-26,12,3,19,24,39
2020-08-02,12,2,21,28,41
2020-08-09,13,4,15,29,41
2020-08-16,17,5,19,30,54
2020-08-23,18,3,17,33,55
2020-08-30,21,2,31,39,66
2020-09-06,18,3,21,34,56
2020-09-13,15,6,17,44,59
2020-09-20,17,2,28,52,76
2020-09-27,18,6,26,43,56
2020-10-04,13,3,20,54,55
2020-10-11,22,8,22,43,63
